time_s,force_dt001_N,u_dt001_m,v_dt001_mps,a_dt001_mps2,force_dt01_interp_N,u_dt01_interp_m,v_dt01_interp_mps,a_dt01_interp_mps2,du_dt01minusdt001_m,dv_dt01minusdt001_mps,da_dt01minusdt001_mps2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,8.000000000000000000e+02,5.018820577164366445e-06,1.003764115432873418e-03,2.007528230865746610e-01,8.000000000000000000e+02,1.886792452830188586e-04,3.773584905660376954e-03,7.547169811320754429e-02,1.836604247058544828e-04,2.769820790227503320e-03,-1.252811249733671306e-01
2.000000000000000042e-02,1.600000000000000000e+03,2.905500394358392596e-05,3.803472557851038383e-03,3.591888653970583545e-01,1.600000000000000000e+03,3.773584905660377171e-04,7.547169811320753909e-03,1.509433962264150886e-01,3.483034866224538149e-04,3.743697253469715526e-03,-2.082454691706432659e-01
2.999999999999999889e-02,2.400000000000000000e+03,8.799883375703097907e-05,7.985293404838370371e-03,4.771753040004080293e-01,2.400000000000000000e+03,5.660377358490565215e-04,1.132075471698113130e-02,2.264150943396226190e-01,4.780389020920255559e-04,3.335461312142760926e-03,-2.507602096607853825e-01
4.000000000000000083e-02,3.200000000000000000e+03,1.937229602843055370e-04,1.315953190061654177e-02,5.576723951552262637e-01,3.200000000000000000e+03,7.547169811320754342e-04,1.509433962264150782e-02,3.018867924528301772e-01,5.609940208477698972e-04,1.934807722024966051e-03,-2.557856027023960865e-01
5.000000000000000278e-02,4.000000000000000000e+03,3.543710258306779549e-04,1.897008120865794137e-02,6.044374664530536290e-01,4.000000000000000000e+03,9.433962264150943470e-04,1.886792452830188607e-02,3.773584905660377076e-01,5.890252005844164463e-04,-1.021566803560552961e-04,-2.270789758870159214e-01
5.999999999999999778e-02,4.800000000000000000e+03,5.747265971490062540e-04,2.510103305500771542e-02,6.217529028169013205e-01,4.800000000000000000e+03,1.132075471698113043e-03,2.264150943396226259e-02,4.528301886792452380e-01,5.573488745491067889e-04,-2.459523621045452829e-03,-1.689227141376560826e-01
7.000000000000000666e-02,5.600000000000000909e+03,8.566353369682901987e-04,3.128071490884907352e-02,6.141834679513704653e-01,5.600000000000000909e+03,1.320754716981132173e-03,2.641509433962264258e-02,5.283018867924528239e-01,4.641193800128419738e-04,-4.865620569226430936e-03,-8.588158115891764144e-02
8.000000000000000167e-02,6.400000000000000000e+03,1.199456231103995536e-03,3.728346391829199385e-02,5.863663339372140459e-01,6.400000000000000000e+03,1.509433962264150868e-03,3.018867924528301563e-02,6.037735849056603543e-01,3.099777311601553328e-04,-7.094784673008978221e-03,1.740725096844630837e-02
8.999999999999999667e-02,7.200000000000000000e+03,1.600520914888495499e-03,4.292947283860800572e-02,5.428354501259879950e-01,7.200000000000000000e+03,1.698113207547169781e-03,3.396226415094339562e-02,6.792452830188677737e-01,9.759229265867428241e-05,-8.967208687664610101e-03,1.364098328928797788e-01
1.000000000000000056e-01,8.000000000000000000e+03,2.055583539266837931e-03,4.808305203706047387e-02,4.878803895645058564e-01,8.000000000000000000e+03,1.886792452830188694e-03,3.773584905660377214e-02,7.547169811320754151e-01,-1.687910864366492375e-04,-1.034720298045670173e-02,2.668365915675695588e-01
1.100000000000000006e-01,9.000000000000000000e+03,2.560501738911881951e-03,5.290058789194833355e-02,4.756267814130656912e-01,9.000000000000000000e+03,2.503559985760056734e-03,4.252402990388037818e-02,6.995372018511925027e-01,-5.694175315182521679e-05,-1.037655798806795537e-02,2.239104204381268115e-01
1.199999999999999956e-01,1.000000000000000000e+04,3.112618688067794303e-03,5.752280193923414026e-02,4.488160280440960381e-01,1.000000000000000000e+04,3.120327518689924775e-03,4.731221075115698421e-02,6.443574225703097014e-01,7.708830622130471988e-06,-1.021059118807715604e-02,1.955413945262136632e-01
1.300000000000000044e-01,1.100000000000000000e+04,3.709340786348266222e-03,6.182161771686024709e-02,4.109471274811260511e-01,1.100000000000000000e+04,3.737095051619793683e-03,5.210039159843359718e-02,5.891776432894267890e-01,2.775426527152746042e-05,-9.721226118426649909e-03,1.782305158083007379e-01
1.400000000000000133e-01,1.200000000000000000e+04,4.346962965209642468e-03,6.570281805541500209e-02,3.652929402298250583e-01,1.200000000000000000e+04,4.353862584549662157e-03,5.688857244571021710e-02,5.339978640085438766e-01,6.899619340019688685e-06,-8.814245609704784989e-03,1.687049237787188183e-01
1.499999999999999944e-01,1.300000000000000000e+04,5.020994092544714058e-03,6.910340741159931577e-02,3.148249310070381224e-01,1.300000000000000000e+04,4.970630117479529764e-03,6.167675329298681619e-02,4.788180847276610197e-01,-5.036397506518429379e-05,-7.426654118612499578e-03,1.639931537206228973e-01
1.600000000000000033e-01,1.400000000000000000e+04,5.726452832905928186e-03,7.198834066064352388e-02,2.621617188018030564e-01,1.400000000000000000e+04,5.587397650409398238e-03,6.646493414026342916e-02,4.236383054467781073e-01,-1.390551824965299485e-04,-5.523406520380094720e-03,1.614765866449750509e-01
1.700000000000000122e-01,1.500000000000000000e+04,6.458128758998712450e-03,7.434684455791333579e-02,2.095390606521581045e-01,1.500000000000000000e+04,6.204165183339266712e-03,7.125311498754004214e-02,3.684585261658951394e-01,-2.539635756594457380e-04,-3.093729570373293658e-03,1.589194655137370349e-01
1.799999999999999933e-01,1.600000000000000000e+04,7.210805645060184774e-03,7.618853265438113587e-02,1.587985586414009109e-01,1.600000000000000000e+04,6.820932716269134319e-03,7.604129583481664123e-02,3.132787468850123380e-01,-3.898729287910504548e-04,-1.472368195644946365e-04,1.544801882436114271e-01
